hotel_id,name,city,country,tier,price_per_night_inr,star_rating,review_score,amenities,image_url,address
HTL_BLR_01,The Leela Palace Bengaluru (Royal Luxury),Bengaluru,India,Luxury Palace 5-Star,22000,5.0,5.0,"Vijayanagara Palace Architecture, 9-Acre Cascading Gardens, Zen Pan-Asian, Cigar Lounge, Spa",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"23 HAL Airport Road, Kodihalli, Bengaluru"
HTL_BLR_02,The Oberoi Bengaluru MG Road,Bengaluru,India,Luxury 5-Star,17500,4.9,4.9,"Centuries-Old Rain Trees, Private Balconies over Tropical Gardens, Rim Naam Thai Dining, Luxury Spa",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"37-39 MG Road, Bengaluru, Karnataka"
HTL_BLR_03,JW Marriott Hotel Bengaluru Vittal Mallya,Bengaluru,India,Luxury 5-Star,15000,4.8,4.8,"Overlooking Cubbon Park, Rooftop Alba Italian, Heated Outdoor Pool, Spa by JW, UB City 200m",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"24/1 Vittal Mallya Road, Bengaluru"
HTL_BLR_04,Bloomrooms @ Indiranagar 100ft Road,Bengaluru,India,Boutique / Comfort,3400,4.6,4.6,"Signature CloudBeds, High Speed Wifi, Cafe, 100ft Road Shopping & Pub Walkway",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"100 Feet Road, Indiranagar, Bengaluru"
HTL_BLR_05,Zostel Bangalore Koramangala,Bengaluru,India,Budget / Backpacker,900,4.5,4.5,"Rooftop Common Room, Co-Working Pods, Night Board Games, Walking Tours, Pub Crawls",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"8th Main Road, 4th Block, Koramangala, Bengaluru"
HTL_BOM_01,The Taj Mahal Palace & Tower Mumbai (1903 Historic),Mumbai,India,Luxury Palace 5-Star,28000,5.0,5.0,"Gateway of India Direct Harbor View, Wasabi by Morimoto, Sea Lounge High Tea, Jiva Grand Spa",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Apollo Bunder, Colaba, Mumbai, Maharashtra"
HTL_BOM_02,The Oberoi Mumbai Marine Drive,Mumbai,India,Luxury 5-Star,24000,4.9,4.9,"Direct Queen's Necklace Sea Views, Glass Jewel Box Atrium, Ziya Indian Dining, Heated Ocean Pool",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Nariman Point, Marine Drive, Mumbai"
HTL_BOM_03,JW Marriott Mumbai Juhu Beachfront,Mumbai,India,Luxury 5-Star,18000,4.8,4.8,"Direct Juhu Beach Access, Infinity Saltwater Pool, Lotus Cafe, Quan Spa, Celebrity Spotting",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Juhu Tara Road, Juhu Beach, Mumbai"
HTL_BOM_04,Residency Hotel Fort Mumbai,Mumbai,India,Mid-Range / Heritage Comfort,4800,4.6,4.6,"Walking Distance to CSMT & Flora Fountain, Historic Architecture, Breakfast Buffet, Free Wifi",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"DN Road, Fort Heritage District, Mumbai"
HTL_BOM_05,Zostel Mumbai Andheri,Mumbai,India,Budget / Backpacker,1100,4.5,4.5,"Bollywood Theme Murals, Rooftop Bollywood Cafe, High Speed Wifi, Metro Station 500m",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Marol, Andheri East, Mumbai"
HTL_DEL_01,The Imperial New Delhi (1936 Art Deco Palace),Delhi,India,Luxury Palace 5-Star,24000,5.0,5.0,"Art Deco Victorian Verandahs, 24-Pillar Durbar Hall, Spice Route Fine Dining, Imperial Spa",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Janpath, Connaught Place, New Delhi"
HTL_DEL_02,The Leela Palace New Delhi Chanakyapuri,Delhi,India,Luxury 5-Star,22000,4.9,4.9,"Rooftop Temperature-Controlled Infinity Pool, Diplomatic Enclave, MEGU Japanese, ESPA Spa",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Diplomatic Enclave, Chanakyapuri, New Delhi"
HTL_DEL_03,Bloomrooms @ Janpath Connaught Place,Delhi,India,Boutique / Comfort,3600,4.6,4.6,"Minimalist Yellow Decor, High Speed Wifi, Cafe, Metro Station Adjacent, Clean Bathrooms",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"1 Janpath Lane, Connaught Place, New Delhi"
HTL_DEL_04,Zostel Delhi Paharganj Rooftop,Delhi,India,Budget / Backpacker,850,4.5,4.5,"Rooftop Cafe, Old Delhi Street Food Tours, Co-Working Desks, 500m to New Delhi Railway Station",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Ara Kashan Road, Paharganj, New Delhi"
HTL_MAN_01,The Himalayan Luxury Resort & Castle,Manali,India,Luxury 5-Star,12500,4.9,4.9,"Himalayan View, Heated Pool, Fireplace, Spa, Fine Dining, Ski Transfer",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Hadimba Road, Manali, Himachal Pradesh"
HTL_MAN_02,Span Resort & Spa Riverbank,Manali,India,Luxury 5-Star,14000,4.8,4.8,"Beas River Front, Helipad, Pine Forest Lawn, Outdoor Bar, Spa",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Baragarh Estate, Beas Valley, Manali"
HTL_MAN_03,Apple Country Boutique Resort,Manali,India,Mid-Range / Comfort,4500,4.6,4.6,"Apple Orchard View, Mountain Balcony, Discotheque, Spa, Free Wifi",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Log Huts Area, Old Manali"
HTL_MAN_04,The Johnson Lodge & Spa,Manali,India,Mid-Range / Comfort,5500,4.7,4.7,"Wooden Chalets, Famous Italian Cafe, Garden Bar, Trout Fish Kitchen",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Circuit House Road, Manali"
HTL_MAN_05,Zostel Manali (Old Manali Vibe),Manali,India,Budget / Backpacker,1200,4.5,4.5,"Bunk & Private Rooms, Rooftop Cafe, Bonfire, High Speed Wifi, Community Hall",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Manu Temple Road, Old Manali"
HTL_GOA_01,Taj Exotica Resort & Spa Benaulim,Goa,India,Luxury 5-Star,18500,4.9,4.9,"Private Beach, Mediterranean Villa, Golf Course, Jiva Spa, 5 Restaurants",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Calwaddo, Benaulim, South Goa"
HTL_GOA_02,W Goa Vagator Cliffside,Goa,India,Luxury 5-Star,21000,4.9,4.9,"Rock Pool Bar, Sunset Lounge, Chapora Fort View, AWAY Spa, Beach Access",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Vagator Beach, North Goa"
HTL_GOA_03,Taj Fort Aguada Resort & Spa,Goa,India,Luxury 5-Star,16000,4.8,4.8,"Sea Facing Cottages, Historic Portuguese Ramparts, Infinity Pool, Watersports",https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&q=80,"Sinquerim, Candolim, North Goa"
HTL_GOA_04,BloomSuites Calangute,Goa,India,Mid-Range / Comfort,3800,4.5,4.5,"Swimming Pool, 500m to Beach, Breakfast Buffet, Free Wifi, Modern Rooms",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"Calangute-Candolim Main Road, Goa"
HTL_GOA_05,Zostel Morjim Beach Hostel,Goa,India,Budget / Backpacker,1100,4.6,4.6,"Beach Walkway, Co-Working Space, Rooftop Cafe, Surf Board Rentals",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Morjim Beach Road, Pernem, Goa"
HTL_PAR_01,Hôtel Plaza Athénée Paris,Paris,France,Luxury Palace 5-Star,48000,5.0,4.9,"Eiffel Tower Balcony View, Dior Spa, Alain Ducasse Dining, Courtyard Ivy",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"25 Avenue Montaigne, 8th arr., Paris"
HTL_PAR_02,Pullman Paris Tour Eiffel,Paris,France,Luxury 4-Star Superior,26000,4.7,4.7,"Direct Eiffel Tower Views, Frame Rooftop Bar, Fitness Lounge, Metro Access",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"18 Avenue de Suffren, 15th arr., Paris"
HTL_PAR_03,CitizenM Paris Champs-Élysées,Paris,France,Boutique / Comfort,14500,4.6,4.6,"Smart Mood Rooms, Rooftop Cocktail CloudBar, 200m to Arc de Triomphe",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Rue la Boétie, Champs-Élysées, Paris"
HTL_PAR_04,Generator Paris (Canal Saint-Martin),Paris,France,Budget / Design Hostel,3800,4.4,4.4,"Rooftop Sacré-Cœur View, Underground Bar, En-suite Dorms, Metro Colonel Fabien",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Place du Colonel Fabien, 10th arr., Paris"
HTL_SWI_01,The Dolder Grand Zurich,Switzerland,Switzerland,Luxury 5-Star Deluxe,55000,5.0,4.9,"Lake Zurich Panorama, 4000sqm Spa, Michelin Star Dining, Private Art Collection",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Kurhausstrasse 65, Zurich"
HTL_SWI_02,Victoria-Jungfrau Grand Hotel & Spa,Switzerland,Switzerland,Luxury 5-Star Historic,42000,4.9,4.9,"Jungfrau Peak Views, Nescens Spa, Belle Époque Architecture, Central Interlaken",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Höheweg 41, Interlaken"
HTL_SWI_03,Hotel Schweizerhof Luzern,Switzerland,Switzerland,Mid-Range / 5-Star Heritage,24000,4.8,4.8,"Lake Lucerne Promenade, Chapel Bridge 300m, Historic Festival Suites, Sauna",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Schweizerhofquai, Lucerne"
HTL_SWI_04,Matterhorn FOCUS Design Hotel Zermatt,Switzerland,Switzerland,Boutique Alpine / 4-Star,28000,4.9,4.9,"Matterhorn Facing Balconies, Heated Outdoor Saltwater Pool, Designer Chalet",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Schluhmattstrasse, Zermatt"
HTL_SWI_05,Balmers Hostel & Tents Interlaken,Switzerland,Switzerland,Budget / Alpine Hostel,4200,4.5,4.5,"Outdoor Hot Tub, Mountain View Garden, Skydiving Bookings, Cozy Swiss Chalet",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Hauptstrasse 23, Matten bei Interlaken"
HTL_JAI_01,Rambagh Palace (The Jewel of Jaipur),Jaipur,India,Luxury Palace 5-Star,35000,5.0,5.0,"Former Maharaja Residence, Peacocks in Gardens, Polo Bar, Jiva Grand Spa",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Bhawani Singh Road, Jaipur"
HTL_JAI_02,Samode Haveli Heritage Hotel,Jaipur,India,Heritage Boutique,12000,4.8,4.8,"Hand-Painted Frescoes, Marble Swimming Pool, Traditional Puppet Shows, Courtyard",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Gangapole, Old Pink City, Jaipur"
HTL_JAI_03,Moustache Hostel Jaipur Rooftop,Jaipur,India,Budget / Backpacker,900,4.6,4.6,"Rooftop Pool, Fort View Cafe, Rajasthani Art Dorms, Walking Tours",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"MI Road, Near Sindhi Camp, Jaipur"
HTL_KER_01,Kumarakom Lake Resort Luxury Houseboat,Kerala,India,Luxury 5-Star Heritage,19000,4.9,4.9,"Backwater Meandering Pool, Ayurmana Ayurvedic Spa, Floating Kettuvallam Dining",https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800&q=80,"Vembanad Lake, Kumarakom, Kerala"
HTL_KER_02,Tea Valley Resort & Mist Villas Munnar,Munnar,India,Mid-Range / Comfort,4800,4.6,4.6,"Inside 25-Acre Tea Estate, Valley Clouds View, Treehouse Trek, Campfire",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Bison Valley Road, Pothamedu, Munnar"
HTL_JPN_01,Aman Tokyo Imperial Palace Skyline,Japan,Japan,Luxury 5-Star,62000,5.0,4.9,"Mount Fuji & Tokyo Skyline Views, 30m Black Basalt Pool, Onsen Bathing, Engawa Lounge",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"The Otemachi Tower, Chiyoda, Tokyo"
HTL_JPN_02,Shinjuku Granbell Hotel,Japan,Japan,Mid-Range / Design Hotel,11500,4.6,4.6,"Rooftop Sky Lounge, Modern Japanese Art, 500m to Shinjuku Station",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Kabukicho, Shinjuku, Tokyo"
HTL_JPN_03,UNPLAN Shinjuku Capsule & Hostel,Japan,Japan,Budget / Boutique Capsule,3200,4.7,4.7,"Modern Pods, English Speaking Barista Cafe, Common Lounge, Metro Access",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Shinjuku-ku, Tokyo"
HTL_BAL_01,The Kayon Jungle Resort Ubud,Bali,Indonesia,Luxury 5-Star Resort,24000,4.9,4.9,"Three-Tiered Valley Infinity Pool, Rain Forest Yoga, Serapung Spa, Floating Breakfast",https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800&q=80,"Bresela, Payangan, Ubud, Bali"
HTL_BAL_02,Kuta Beachfront Boutique Resort,Bali,Indonesia,Mid-Range / Comfort,4200,4.5,4.5,"Beach Access, Sunset Pool Bar, Surfing Lessons, Spa",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Jalan Pantai Kuta, Bali"
HTL_DUB_01,Atlantis The Royal Palm Jumeirah,Dubai,UAE,Ultra Luxury 5-Star,52000,5.0,4.9,"Sky Pool 90m in Air, Aquaventure Access, Celebrity Chef Restaurants, Private Beach",https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800&q=80,"Palm Jumeirah Crescent, Dubai"
HTL_DUB_02,Rove Downtown (Burj Khalifa View),Dubai,UAE,Mid-Range / Modern,8500,4.7,4.7,"Burj Khalifa Infinity Pool, 24h Gym, 500m to Dubai Mall, Daily Cinema",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"Downtown Dubai, UAE"
HTL_MLD_01,Anantara Veli Maldives Luxury Resort,Maldives,Maldives,Luxury 5-Star Resort,68000,4.9,4.9,"Overwater Sunset Bungalows, Turquoise Lagoon, Speedboat Transfer, Coral Reef Diving",https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=800&q=80,"South Male Atoll, Maldives"
HTL_LAD_01,The Grand Dragon Ladakh (Heated Luxury),Ladakh,India,Luxury 5-Star,13500,4.8,4.8,"Solar Heated Rooms, Stok Kangri Snow Views, Oxygen Support, Tibetan Dining",https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?w=800&q=80,"Old Road Sheynam, Leh, Ladakh"
